key,left_leg24,centre_leg24,right_leg24,far_right_leg24,left_leg22,centre_leg22,right_leg22,far_right_leg22,left_leg17,centre_leg17,right_leg17,far_right_leg17,left_pres22,centre_pres22,right_pres22,far_right_pres22,left_euro24,centre_euro24,right_euro24,far_right_euro24,winner_t2_24,proj_left,proj_rn,margin_left,scenario
1001,15.67,18.79,11.7,53.84,0.0,25.27,16.21,39.83,13.83,29.86,26.71,24.89,12.91,0.0,0.0,0.0,17.71,12.93,8.76,54.9,T1_WIN,30.2,61.1,-30.9,bastion_rn
1002,17.8,9.45,27.93,44.83,1.43,18.3,28.57,33.46,15.17,30.42,30.7,21.74,14.94,0.0,0.0,0.0,21.92,13.04,9.62,49.96,RIGHT,31.3,56.9,-25.6,bastion_rn
1003,27.55,16.76,12.36,43.33,4.51,22.38,14.85,35.57,20.05,32.38,23.45,23.18,19.39,0.0,0.0,0.0,26.15,12.32,8.52,47.45,FAR_RIGHT,41.1,50.5,-9.4,bastion_rn
1101,31.87,17.56,0.01,50.56,4.34,21.98,5.17,38.83,34.57,28.71,9.6,24.62,19.97,0.0,0.0,0.0,30.21,10.37,4.09,48.39,FAR_RIGHT,42.4,53.2,-10.8,bastion_rn
1102,26.71,19.32,1.08,49.72,12.01,22.19,8.43,33.68,32.28,27.32,16.65,21.14,19.35,0.0,0.0,0.0,28.49,11.37,4.4,49.76,FAR_RIGHT,38.6,53.0,-14.4,bastion_rn
1103,33.61,16.03,3.35,45.79,13.1,25.08,0.0,34.73,40.75,29.2,10.7,18.59,21.51,0.0,0.0,0.0,32.48,10.14,4.32,44.27,FAR_RIGHT,44.2,49.5,-5.3,bastion_rn
1201,23.48,43.58,1.45,31.48,1.04,42.46,16.52,17.6,23.35,45.92,22.83,7.43,17.51,0.0,0.0,0.0,30.71,17.4,8.57,33.9,CENTRE,50.0,38.6,11.4,bascule_probable
1202,33.97,30.55,0.0,35.49,12.03,22.6,19.01,18.0,32.51,38.72,20.18,7.99,22.05,0.0,0.0,0.0,34.16,14.22,6.55,34.32,LEFT,52.3,40.1,12.2,bascule_probable
1203,32.09,32.45,0.0,35.46,2.51,25.15,25.11,18.89,21.22,32.54,36.02,9.77,19.77,0.0,0.0,0.0,31.58,13.81,7.09,34.75,CENTRE,51.6,40.3,11.3,bascule_probable
1301,27.65,23.61,0.0,48.74,4.05,25.42,7.99,37.29,21.81,29.43,24.97,21.3,21.03,0.0,0.0,0.0,29.76,11.16,5.79,49.63,FAR_RIGHT,41.8,52.3,-10.5,bastion_rn
1302,30.32,27.01,8.68,33.98,5.05,29.85,13.06,26.01,22.69,36.49,25.22,14.12,18.8,0.0,0.0,0.0,34.61,15.72,9.1,37.42,LEFT,49.0,41.3,7.7,bascule_probable
1303,37.92,11.61,5.71,44.75,3.36,22.96,3.59,40.57,27.8,24.89,12.91,31.91,30.11,0.0,0.0,0.0,37.11,8.19,4.0,47.41,FAR_RIGHT,46.5,48.7,-2.2,rn_resistant
1304,70.93,11.04,2.1,15.91,4.91,16.63,4.75,13.36,51.36,22.66,10.63,11.51,54.83,0.0,0.0,0.0,70.81,6.49,2.6,17.12,T1_WIN,78.1,18.4,59.7,bastion_gauche
1305,50.01,17.9,5.13,26.96,4.77,25.91,4.44,22.95,31.91,29.0,22.72,15.46,33.09,0.0,0.0,0.0,51.78,10.31,5.27,29.15,LEFT,62.2,31.6,30.6,bastion_gauche
1306,29.27,25.14,5.15,40.0,6.38,30.52,8.39,32.14,20.36,33.15,25.86,19.25,22.77,0.0,0.0,0.0,32.28,11.62,6.26,46.14,FAR_RIGHT,45.8,45.7,0.1,rn_resistant
1307,62.43,9.0,0.0,28.57,7.76,17.41,0.0,28.11,48.55,25.26,0.0,24.8,52.48,0.0,0.0,0.0,60.11,4.27,1.53,31.27,T1_WIN,67.8,29.9,37.9,bastion_gauche
1308,23.28,26.73,4.47,45.52,4.32,27.78,14.93,32.33,22.12,34.24,15.6,26.01,19.22,0.0,0.0,0.0,27.77,12.55,5.92,48.92,FAR_RIGHT,40.6,51.2,-10.6,bastion_rn
1309,26.92,18.66,7.68,46.67,4.79,21.36,18.37,32.25,22.8,30.74,23.77,19.46,19.8,0.0,0.0,0.0,28.55,11.96,5.73,49.34,FAR_RIGHT,40.3,52.4,-12.1,bastion_rn
1310,24.6,21.54,3.42,50.17,4.33,22.64,13.49,36.98,22.25,43.78,7.29,23.5,16.65,0.0,0.0,0.0,26.99,11.6,5.32,51.31,FAR_RIGHT,38.5,54.7,-16.2,bastion_rn
1311,28.14,26.28,4.06,41.52,5.47,38.71,0.0,31.82,23.77,35.21,19.6,19.43,19.87,0.0,0.0,0.0,32.7,14.89,7.07,41.07,LEFT,45.0,47.0,-2.0,rn_resistant
1312,25.01,13.9,5.65,55.43,6.52,0.0,29.78,43.8,22.17,23.67,24.65,23.15,18.51,0.0,0.0,0.0,25.46,9.51,4.44,56.43,T1_WIN,34.9,59.7,-24.8,bastion_rn
1313,37.06,12.33,0.0,50.61,5.28,15.42,3.01,37.59,37.24,26.48,9.04,25.96,25.26,0.0,0.0,0.0,33.2,8.36,3.04,50.43,FAR_RIGHT,44.5,52.5,-8.0,bastion_rn
1314,31.63,28.91,5.68,33.78,5.71,30.44,12.08,24.77,26.3,37.18,19.22,14.14,21.51,0.0,0.0,0.0,36.15,16.02,7.38,35.84,FAR_RIGHT,50.6,40.3,10.3,bascule_probable
1315,21.03,16.1,10.92,51.35,5.93,22.16,14.42,37.26,18.57,30.75,26.02,22.97,16.43,0.0,0.0,0.0,24.88,12.35,5.85,51.05,FAR_RIGHT,33.7,57.9,-24.2,bastion_rn
1316,31.43,14.88,5.38,48.31,4.59,24.97,0.0,41.34,25.27,27.0,13.64,29.97,24.35,0.0,0.0,0.0,31.14,9.56,4.24,49.6,FAR_RIGHT,41.9,52.6,-10.7,bastion_rn
1401,35.79,0.0,43.11,21.1,3.72,30.25,13.87,15.02,35.26,55.37,0.4,8.53,25.51,0.0,0.0,0.0,44.34,19.38,7.22,24.59,RIGHT,47.9,37.5,10.4,bascule_probable
1402,43.52,14.0,15.42,27.06,1.88,26.78,7.33,19.71,43.29,34.31,9.93,11.13,28.04,0.0,0.0,0.0,44.65,16.06,4.98,28.73,LEFT,56.2,35.0,21.2,bastion_gauche
1403,20.36,36.46,0.0,43.15,1.62,22.42,21.84,29.49,30.07,29.7,20.79,18.75,17.65,0.0,0.0,0.0,25.86,14.99,6.88,44.46,CENTRE,42.2,48.6,-6.4,bastion_rn
1404,20.4,32.8,10.9,35.9,2.14,36.98,12.56,24.53,21.94,39.72,23.8,13.37,16.01,0.0,0.0,0.0,26.15,19.25,8.67,39.53,CENTRE,43.1,45.0,-1.9,rn_resistant
